Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES Grodzisk Mazowiecki (Poland),hard,header
05.08.,Soto M.,0,,,,,,6,6,49%,71% (30/42),57% (25/44),75% (3/4),24% (15/62),57% (23/40),13% (1/8),19,29,67% (2/3),64% (55/86),37% (38/102),49% (93/188),4,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
05.08.,Berkieta T.,2,,,,,,19,10,61%,76% (47/62),43% (17/40),88% (7/8),29% (12/42),43% (19/44),25% (1/4),40,47,0% (0/0),63% (64/102),36% (31/86),51% (95/188),6,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Porto (Portugal),hard,header
30.07.,Soto M.,0,,,,,,7,2,64%,58% (21/36),50% (10/20),50% (4/8),15% (5/34),65% (17/26),33% (1/3),23,31,60% (6/10),55% (31/56),37% (22/60),46% (53/116),5,2,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
30.07.,Grenier H.,2,,,,,,8,8,57%,85% (29/34),35% (9/26),67% (2/3),42% (15/36),50% (10/20),50% (4/8),11,18,80% (4/5),63% (38/60),45% (25/56),54% (63/116),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
29.07.,Alvarez Varona N.,1,,,,,,6,3,69%,73% (35/48),55% (12/22),67% (4/6),18% (7/38),49% (18/37),50% (2/4),19,21,47% (9/19),67% (47/70),33% (25/75),50% (72/145),2,0,83% (10/12),17% (2/12),50% (12/24),[],[],[],[],[],0
29.07.,Soto M.,1,,,,,,4,6,51%,82% (31/38),51% (19/37),50% (2/4),27% (13/48),45% (10/22),33% (2/6),26,29,83% (5/6),67% (50/75),33% (23/70),50% (73/145),8,0,83% (10/12),17% (2/12),50% (12/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Segovia (Spain),hard,header
22.07.,Soto M.,0,,,,,,3,7,56%,63% (25/40),45% (14/31),50% (3/6),29% (12/42),41% (12/29),40% (2/5),19,41,67% (6/9),55% (39/71),34% (24/71),44% (63/142),2,0,70% (7/10),18% (2/11),43% (9/21),[],[],[],[],[],0
22.07.,Crawford O.,2,,,,,,6,3,59%,71% (30/42),59% (17/29),60% (3/5),38% (15/40),55% (17/31),50% (3/6),15,32,80% (4/5),66% (47/71),45% (32/71),56% (79/142),8,0,82% (9/11),30% (3/10),57% (12/21),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Pozoblanco (Spain),hard,header
16.07.,Soto M.,0,,,,,,9,1,65%,87% (40/46),64% (16/25),0% (0/1),16% (9/57),52% (13/25),100% (1/1),24,23,75% (3/4),79% (56/71),24% (20/82),50% (76/153),3,1,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
16.07.,Monday J.,2,,,,,,8,4,70%,88% (50/57),48% (12/25),0% (0/1),13% (6/46),36% (9/25),100% (1/1),25,34,80% (8/10),76% (62/82),21% (15/71),50% (77/153),7,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
15.07.,Soto M.,2,,,,,,11,4,55%,75% (39/52),67% (29/43),83% (5/6),22% (16/73),48% (13/27),14% (1/7),43,60,57% (4/7),72% (68/95),29% (29/100),50% (97/195),7,0,93% (14/15),6% (1/16),48% (15/31),[],[],[],[],[],0
15.07.,Martineau M.,1,,,,,,13,3,73%,78% (57/73),52% (14/27),86% (6/7),25% (13/52),33% (14/43),17% (1/6),29,35,75% (3/4),71% (71/100),28% (27/95),50% (98/195),3,0,94% (15/16),7% (1/15),52% (16/31),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Iasi (Romania),clay,header
10.07.,Soto M.,0,,,,,,4,1,55%,75% (27/36),34% (10/29),56% (5/9),32% (12/37),32% (6/19),100% (1/1),57% (37/65),32% (18/56),45% (55/121),3,1,60% (6/10),11% (1/9),37% (7/19),[],[],[],[],[],0
10.07.,Albot R.,2,,,,,,2,0,66%,68% (25/37),68% (13/19),0% (0/1),25% (9/36),66% (19/29),44% (4/9),68% (38/56),43% (28/65),55% (66/121),7,0,89% (8/9),40% (4/10),63% (12/19),[],[],[],[],[],0
08.07.,Soto M.,2,,,,,,7,5,65%,71% (36/51),54% (15/28),50% (2/4),43% (23/53),43% (13/30),40% (4/10),65% (51/79),43% (36/83),54% (87/162),7,0,83% (10/12),33% (4/12),58% (14/24),[],[],[],[],[],0
08.07.,Ferreira Silva F.,0,,,,,,4,0,64%,57% (30/53),57% (17/30),60% (6/10),29% (15/51),46% (13/28),50% (2/4),57% (47/83),35% (28/79),46% (75/162),3,1,67% (8/12),17% (2/12),42% (10/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Brasov (Romania),clay,header
30.06.,Soto M.,0,,,,,,4,3,49%,80% (20/25),58% (15/26),60% (3/5),15% (4/27),32% (8/25),0% (0/0),69% (35/51),23% (12/52),46% (47/103),6,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
30.06.,Ferreira Silva F.,2,,,,,,3,1,52%,85% (23/27),68% (17/25),0% (0/0),20% (5/25),42% (11/26),40% (2/5),77% (40/52),31% (16/51),54% (56/103),4,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Milan (Italy),clay,header
24.06.,Soto M.,1,,,,,,4,5,60%,72% (36/50),44% (15/34),43% (3/7),30% (16/54),41% (15/37),20% (2/10),61% (51/84),34% (31/91),47% (82/175),3,0,71% (10/14),14% (2/14),43% (12/28),[],[],[],[],[],0
24.06.,Pereira T.,2,,,,,,5,2,59%,70% (38/54),59% (22/37),80% (8/10),28% (14/50),56% (19/34),57% (4/7),66% (60/91),39% (33/84),53% (93/175),7,0,86% (12/14),29% (4/14),57% (16/28),[],[],[],[],[],0
ITF MEN - SINGLES M25 Coquimbo 2 (Chile),clay,header
ITF MEN - SINGLES M25 Coquimbo (Chile),clay,header
CHALLENGER MEN - SINGLES Bogota (Colombia),clay,header
13.05.,Soto M.,0,,,,,,8,5,52%,76% (29/38),54% (19/35),78% (7/9),15% (7/46),53% (10/19),100% (1/1),66% (48/73),26% (17/65),47% (65/138),3,0,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
13.05.,Ejupovic E.,2,,,,,,18,3,71%,85% (39/46),47% (9/19),0% (0/1),24% (9/38),46% (16/35),22% (2/9),74% (48/65),34% (25/73),53% (73/138),7,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Santos (Brazil),clay,header
08.05.,Soto M.,0,,,,,,5,4,57%,63% (31/49),35% (13/37),33% (2/6),34% (20/59),57% (13/23),38% (3/8),51% (44/86),40% (33/82),46% (77/168),5,3,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],0
08.05.,Roncadelli F.,2,,,,,,3,0,72%,66% (39/59),43% (10/23),63% (5/8),37% (18/49),65% (24/37),67% (4/6),60% (49/82),49% (42/86),54% (91/168),5,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],0
06.05.,Soto M.,2,,,,,,11,2,57%,72% (39/54),57% (23/40),75% (3/4),41% (29/71),55% (24/44),38% (6/16),66% (62/94),46% (53/115),55% (115/209),8,0,92% (12/13),46% (6/13),69% (18/26),[],[],[],[],[],0
06.05.,Sakamoto P.,1,,,,,,2,5,62%,59% (42/71),45% (20/44),63% (10/16),28% (15/54),43% (17/40),25% (1/4),54% (62/115),34% (32/94),45% (94/209),2,0,54% (7/13),8% (1/13),31% (8/26),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Luis Potosi (Mexico),clay,header
