Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Cali (Colombia) - Qualification,clay,header
16.09. 23:55,Arcila A.,1,6,2,0,,,7,6,58%,68% (38/56),30% (12/40),65% (11/17),29% (10/35),26% (7/27),50% (2/4),4,52% (50/96),27% (17/62),42% (67/158),2,50% (6/12),17% (2/12),33% (8/24),"['4', '2', '6', '4']",[],[],[],[],1.67
16.09. 23:55,Aguilar J. C. M.,2,4,6,6,,,5,1,56%,71% (25/35),74% (20/27),50% (2/4),32% (18/56),70% (28/40),35% (6/17),8,73% (45/62),48% (46/96),58% (91/158),7,83% (10/12),50% (6/12),67% (16/24),"['3', '4']","['1', '0', '4', '1']","['1', '0', '3', '0', '5', '0']",[],[],2.14
16.09. 01:45,Arcila A.,2,6,6,,,,2,1,64%,80% (24/30),65% (11/17),100% (2/2),35% (11/31),74% (14/19),50% (4/8),8,74% (35/47),50% (25/50),62% (60/97),4,100% (8/8),50% (4/8),75% (12/16),"['4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.04
16.09. 01:45,Sarria M.,0,3,1,,,,1,4,62%,65% (20/31),26% (5/19),50% (4/8),20% (6/30),35% (6/17),0% (0/2),4,50% (25/50),26% (12/47),38% (37/97),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],9.70
CHALLENGER MEN - SINGLES :  Bogota (Colombia),clay,header
CHALLENGER MEN - SINGLES :  Bogota (Colombia),clay,header
07.08. 02:45,Arcila A.,0,6^5,4,,,,4,3,59%,66% (25/38),42% (11/26),20% (1/5),30% (13/44),43% (12/28),50% (3/6),5,56% (36/64),35% (25/72),45% (61/136),2,64% (7/11),27% (3/11),45% (10/22),"['1', '0', '6', '5']","['2', '0']",[],[],[],10.50
07.08. 02:45,Guillen Meza A.,2,7^7,6,,,,4,8,61%,70% (31/44),57% (16/28),50% (3/6),34% (13/38),58% (15/26),80% (4/5),7,65% (47/72),44% (28/64),55% (75/136),3,73% (8/11),36% (4/11),55% (12/22),"['4', '4', '6', '6']","['1', '2', '5', '4']",[],[],[],1.06
CHALLENGER MEN - SINGLES :  Bogota (Colombia) - Qualification,clay,header
05.08. 20:40,Arcila A.,2,6,6,,,,2,2,58%,73% (22/30),59% (13/22),67% (2/3),50% (16/32),48% (14/29),44% (4/9),9,67% (35/52),49% (30/61),58% (65/113),5,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],1.27
05.08. 20:40,Urrea A.,0,2,4,,,,1,3,52%,50% (16/32),52% (15/29),56% (5/9),27% (8/30),41% (9/22),33% (1/3),7,51% (31/61),33% (17/52),42% (48/113),3,56% (5/9),11% (1/9),33% (6/18),[],"['3', '5']",[],[],[],3.58
04.08. 20:45,Arcila A.,2,6,6,,,,2,1,60%,72% (21/29),74% (14/19),100% (1/1),40% (12/30),57% (16/28),40% (4/10),6,73% (35/48),48% (28/58),59% (63/106),5,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],4.21
04.08. 20:45,Lilov V.,0,2,2,,,,1,7,52%,60% (18/30),43% (12/28),60% (6/10),28% (8/29),26% (5/19),0% (0/1),4,52% (30/58),27% (13/48),41% (43/106),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.21
BOYS - SINGLES :  French Open (France),clay,header
05.06.2023,Arcila A.,0,0,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '5', '4', '5']",[],[],[],0
05.06.2023,Ghibaudo A.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '7', '5']",[],[],[],0
