Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Punta del Este (Uruguay),clay,header
CHALLENGER MEN - SINGLES :  Rosario (Argentina),clay,header
ITF MEN - SINGLES :  M25 Punta del Este (Uruguay),clay,header
CHALLENGER MEN - SINGLES :  Rosario (Argentina),clay,header
CHALLENGER MEN - SINGLES :  Rosario (Argentina),clay,header
05.02. 00:50,Vallejo D.,0,4,2,,,,1,0,71%,56% (23/41),65% (11/17),67% (6/9),35% (16/46),31% (5/16),0% (0/3),59% (34/58),34% (21/62),46% (55/120),2,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.68
05.02. 00:50,Pellegrino A.,2,6,6,,,,6,3,74%,65% (30/46),69% (11/16),100% (3/3),44% (18/41),35% (6/17),33% (3/9),66% (41/62),41% (24/58),54% (65/120),8,0,100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['3', '2', '5', '2']",[],[],[],2.11
CHALLENGER MEN - SINGLES :  Rosario (Argentina) - Qualification,clay,header
03.02. 23:40,Vallejo D.,1,6,5,2,,,5,2,67%,78% (43/55),41% (11/27),57% (4/7),24% (13/55),50% (16/32),25% (1/4),66% (54/82),33% (29/87),49% (83/169),2,0,80% (12/15),7% (1/14),45% (13/29),"['3', '1']",[],[],[],[],1.51
03.02. 23:40,Schwaerzler J. J.,2,3,7,6,,,4,3,63%,76% (42/55),50% (16/32),75% (3/4),22% (12/55),59% (16/27),43% (3/7),67% (58/87),34% (28/82),51% (86/169),8,0,93% (13/14),20% (3/15),55% (16/29),[],"['7', '5']","['3', '1', '6', '2']",[],[],2.46
02.02. 23:45,Vallejo D.,2,4,6,6,,,1,2,58%,64% (34/53),64% (25/39),75% (6/8),38% (20/52),50% (15/30),50% (5/10),64% (59/92),43% (35/82),54% (94/174),6,0,85% (11/13),38% (5/13),62% (16/26),"['3', '2']","['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],1.49
02.02. 23:45,Ambrogi L. E.,1,6,2,2,,,3,2,63%,62% (32/52),50% (15/30),50% (5/10),36% (19/53),36% (14/39),25% (2/8),57% (47/82),36% (33/92),46% (80/174),4,1,62% (8/13),15% (2/13),38% (10/26),"['4', '4', '6', '4']",[],[],[],[],2.51
CHALLENGER MEN - SINGLES :  Punta Del Este (Uruguay),clay,header
22.01. 01:55,Vallejo D.,1,6,3,2,,,4,3,57%,62% (28/45),50% (17/34),62% (8/13),32% (17/53),45% (14/31),33% (3/9),57% (45/79),37% (31/84),47% (76/163),2,0,62% (8/13),23% (3/13),42% (11/26),"['3', '3', '5', '3']","['2', '3']",[],[],[],2.02
22.01. 01:55,Nava E.,2,3,6,6,,,7,2,63%,68% (36/53),55% (17/31),67% (6/9),38% (17/45),50% (17/34),38% (5/13),63% (53/84),43% (34/79),53% (87/163),8,0,77% (10/13),38% (5/13),58% (15/26),"['3', '2']","['3', '1', '5', '3']","['2', '1', '5', '2']",[],[],1.73
CHALLENGER MEN - SINGLES :  Buenos Aires 2 (Argentina),clay,header
20.01. 18:35,Vallejo D.,0,4,4,,,,2,5,57%,63% (26/41),35% (11/31),64% (7/11),29% (10/34),45% (14/31),50% (2/4),51% (37/72),37% (24/65),45% (61/137),4,0,60% (6/10),20% (2/10),40% (8/20),"['2', '0']","['1', '1']",[],[],[],2.40
20.01. 18:35,Varillas J. P.,2,6,6,,,,2,1,52%,71% (24/34),55% (17/31),50% (2/4),37% (15/41),65% (20/31),36% (4/11),63% (41/65),49% (35/72),55% (76/137),6,0,80% (8/10),40% (4/10),60% (12/20),"['2', '3', '4', '3']","['1', '0', '3', '2']",[],[],[],1.53
18.01. 18:40,Vallejo D.,2,7,6,,,,0,2,64%,55% (24/44),56% (14/25),63% (5/8),48% (16/33),54% (15/28),60% (6/10),55% (38/69),51% (31/61),53% (69/130),7,0,70% (7/10),60% (6/10),65% (13/20),"['2', '2', '5', '5', '7', '5']","['1', '1', '4', '2', '6', '2']",[],[],[],1.86
18.01. 18:40,Guillen Meza A.,0,5,2,,,,0,7,54%,52% (17/33),46% (13/28),40% (4/10),45% (20/44),44% (11/25),38% (3/8),49% (30/61),45% (31/69),47% (61/130),3,0,40% (4/10),30% (3/10),35% (7/20),"['2', '1', '4', '3']","['1', '0']",[],[],[],1.86
17.01. 18:40,Vallejo D.,2,3,6,6,,,2,6,60%,80% (41/51),41% (14/34),70% (7/10),40% (23/57),41% (14/34),57% (4/7),65% (55/85),41% (37/91),52% (92/176),5,0,79% (11/14),29% (4/14),54% (15/28),[],"['1', '0', '6', '3']","['5', '3', '6', '4']",[],[],1.46
17.01. 18:40,Villanueva G.,1,6,3,4,,,0,7,63%,60% (34/57),59% (20/34),43% (3/7),20% (10/51),59% (20/34),30% (3/10),59% (54/91),35% (30/85),48% (84/176),5,0,71% (10/14),21% (3/14),46% (13/28),"['2', '1', '6', '3']",[],"['4', '5']",[],[],2.59
16.01. 20:40,Vallejo D.,2,6,6,,,,2,6,57%,62% (24/39),50% (15/30),60% (6/10),59% (19/32),68% (13/19),86% (6/7),57% (39/69),63% (32/51),59% (71/120),5,0,60% (6/10),67% (6/9),63% (12/19),"['1', '1', '2', '2', '4', '2']","['1', '0', '2', '1', '4', '3']",[],[],[],1.75
16.01. 20:40,Olivieri G. A.,0,3,4,,,,0,1,63%,41% (13/32),32% (6/19),14% (1/7),44% (17/39),50% (15/30),40% (4/10),37% (19/51),43% (30/69),41% (49/120),5,2,33% (3/9),40% (4/10),37% (7/19),"['1', '0', '2', '1']","['1', '1', '3', '3']",[],[],[],1.99
14.01. 21:50,Vallejo D.,2,6,6,,,,0,7,60%,62% (32/52),51% (18/35),87% (13/15),50% (16/32),58% (15/26),71% (5/7),57% (50/87),53% (31/58),56% (81/145),8,0,78% (7/9),56% (5/9),67% (12/18),"['2', '0', '3', '1', '6', '4']","['4', '2', '6', '2']",[],[],[],1.45
14.01. 21:50,Olivo R.,0,4,2,,,,0,5,55%,50% (16/32),42% (11/26),29% (2/7),38% (20/52),49% (17/35),13% (2/15),47% (27/58),43% (37/87),44% (64/145),2,0,44% (4/9),22% (2/9),33% (6/18),"['1', '2', '4', '5']",[],[],[],[],2.63
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
08.01. 04:40,Vallejo D.,1,6,3,4,,,4,7,57%,65% (36/55),51% (21/41),50% (4/8),29% (17/58),50% (20/40),33% (3/9),30,44,60% (12/20),59% (57/96),38% (37/98),48% (94/194),3,1,71% (10/14),20% (3/15),45% (13/29),"['3', '2', '5', '4']",[],"['2', '2']",[],[],2.42
08.01. 04:40,Uchiyama Y.,2,4,6,6,,,5,0,59%,71% (41/58),50% (20/40),67% (6/9),35% (19/55),49% (20/41),50% (4/8),30,38,78% (18/23),62% (61/98),41% (39/96),52% (100/194),7,0,80% (12/15),29% (4/14),55% (16/29),"['4', '4']","['5', '3']","['1', '0', '5', '4']",[],[],1.57
06.01. 10:40,Vallejo D.,2,6,6,,,,5,3,71%,63% (33/52),52% (11/21),50% (2/4),35% (11/31),55% (12/22),67% (4/6),23,20,65% (11/17),60% (44/73),43% (23/53),53% (67/126),7,0,80% (8/10),40% (4/10),60% (12/20),"['6', '4']","['2', '0', '4', '2', '6', '4']",[],[],[],2.10
06.01. 10:40,Andreev A.,0,4,4,,,,3,4,58%,65% (20/31),45% (10/22),33% (2/6),37% (19/52),48% (10/21),50% (2/4),17,27,73% (8/11),57% (30/53),40% (29/73),47% (59/126),3,1,60% (6/10),20% (2/10),40% (8/20),[],"['2', '3', '3', '4']",[],[],[],1.74
CHALLENGER MEN - SINGLES :  Noumea (New Caledonia),hard,header
31.12.2024,Vallejo D.,0,3,4,,,,3,5,58%,57% (20/35),52% (13/25),60% (6/10),39% (17/44),43% (13/30),29% (2/7),55% (33/60),41% (30/74),47% (63/134),4,3,56% (5/9),20% (2/10),37% (7/19),"['2', '5']","['4', '4']",[],[],[],1.42
31.12.2024,Taguchi R.,2,6,6,,,,3,3,59%,61% (27/44),57% (17/30),71% (5/7),43% (15/35),48% (12/25),40% (4/10),59% (44/74),45% (27/60),53% (71/134),6,0,80% (8/10),44% (4/9),63% (12/19),"['3', '1', '5', '1']","['2', '1', '5', '4']",[],[],[],2.73
CHALLENGER MEN - SINGLES :  Montevideo (Uruguay),clay,header
12.11.2024,Vallejo D.,0,3,4,,,,0,4,71%,54% (19/35),43% (6/14),0% (0/4),44% (18/41),32% (7/22),67% (2/3),51% (25/49),40% (25/63),45% (50/112),2,0,56% (5/9),20% (2/10),37% (7/19),[],"['2', '0', '4', '0']",[],[],[],2.25
12.11.2024,Midon L.,2,6,6,,,,2,1,65%,56% (23/41),68% (15/22),33% (1/3),46% (16/35),57% (8/14),100% (4/4),60% (38/63),49% (24/49),55% (62/112),8,0,80% (8/10),44% (4/9),63% (12/19),"['3', '1']","['1', '4', '3', '4', '5', '4']",[],[],[],1.60
CHALLENGER MEN - SINGLES :  Lima 2 (Peru),clay,header
08.11.2024,Vallejo D.,0,2,2,,,,0,1,69%,45% (15/33),33% (5/15),29% (2/7),34% (14/41),50% (8/16),17% (1/6),42% (20/48),39% (22/57),40% (42/105),5,0,38% (3/8),13% (1/8),25% (4/16),"['1', '1']",[],[],[],[],2.61
08.11.2024,Coria F.,2,6,6,,,,0,0,72%,66% (27/41),50% (8/16),83% (5/6),55% (18/33),67% (10/15),71% (5/7),61% (35/57),58% (28/48),60% (63/105),5,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '2', '1', '4', '1']","['1', '0', '4', '1']",[],[],[],1.45
05.11.2024,Vallejo D.,2,6,1,6,,,2,3,63%,58% (31/53),48% (15/31),69% (11/16),46% (25/54),63% (10/16),50% (6/12),55% (46/84),50% (35/70),53% (81/154),7,0,58% (7/12),50% (6/12),54% (13/24),"['2', '0', '5', '1']","['1', '2']","['2', '0', '3', '1', '6', '4']",[],[],1.42
