Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Castelo Branco (Portugal),hard,header
ITF MEN - SINGLES :  M15 Oradea (Romania),clay,header
ITF MEN - SINGLES :  M15 Fayetteville,hard,header
01.11.2023,Hasson J.,0,6^5,2,,,,"['2', '1']",[],[],[],[],2.05
01.11.2023,Lerby C.,2,7^7,6,,,,"['4', '4']","['1', '0', '4', '1']",[],[],[],1.69
ITF MEN - SINGLES :  M15 Norman,hard,header
ITF MEN - SINGLES :  M15 Albuquerque,hard,header
28.09.2023,Hasson J.,1,6,5,6^4,,,"['5', '4']","['2', '3']",[],[],[],1.81
28.09.2023,Azkara A.,2,4,7,7^7,,,[],"['3', '1', '7', '5']",[],[],[],1.90
27.09.2023,Hasson J.,2,6,6,,,,"['2', '1', '4', '1', '6', '1']","['3', '1', '5', '3']",[],[],[],1.86
27.09.2023,Horovitz R.,0,1,3,,,,[],"['2', '3']",[],[],[],1.85
ITF MEN - SINGLES :  M25 Herzlia (Israel),hard,header
ITF MEN - SINGLES :  M15 Raanana (Israel),hard,header
ITF MEN - SINGLES :  M25 Netanya 2 (Israel),hard,header
ITF MEN - SINGLES :  M25 Netanya (Israel),hard,header
ITF MEN - SINGLES :  M15 Norman,hard,header
29.10.2022,Hasson J.,1,6,0,5,,,"['4', '4', '6', '4']",[],"['3', '3']",[],[],2.77
29.10.2022,Martinez A.,2,4,6,7,,,"['3', '2']","['1', '0', '3', '0', '5', '0']","['2', '1', '6', '5']",[],[],1.43
28.10.2022,Hasson J.,2,6,6,,,,"['2', '0', '5', '3']","['3', '2']",[],[],[],3.44
28.10.2022,Rodrigues D.,0,3,4,,,,"['2', '3']",[],[],[],[],1.30
27.10.2022,Hasson J.,2,6,6,,,,"['4', '2']","['1', '0', '4', '3']",[],[],[],1.59
27.10.2022,Pini F.,0,3,4,,,,[],"['2', '2']",[],[],[],2.26
25.10.2022,Hasson J.,2,6,6,,,,[],[],[],[],[],1.43
25.10.2022,Heng N.,0,2,3,,,,[],[],[],[],[],2.70
ITF MEN - SINGLES :  M15 Lubbock,hard,header
25.09.2022,Hasson J.,0,2,3,,,,[],"['2', '1']",[],[],[],3.60
25.09.2022,Bicknell B.,2,6,6,,,,"['2', '0']","['3', '3', '5', '3']",[],[],[],1.28
21.09.2022,Hasson J.,2,6,6,,,,"['2', '0']","['1', '0', '3', '0', '6', '3']",[],[],[],1.57
21.09.2022,Koshis C.,0,3,3,,,,[],"['2', '4']",[],[],[],2.31
ITF MEN - SINGLES :  M15 Champaign,hard,header
14.09.2022,Hasson J.,1,6,1,4,,,"['2', '2', '4', '2']",[],[],[],[],5.35
14.09.2022,Bangoura S.,2,3,6,6,,,"['2', '1']","['3', '1', '5', '1']","['4', '3']",[],[],1.13
ITF MEN - SINGLES :  M15 Herzlia (Israel),hard,header
ITF MEN - SINGLES :  M15 Kfar Saba (Israel),hard,header
ITF MEN - SINGLES :  M15 Raanana (Israel),hard,header
ITF MEN - SINGLES :  M25 Netanya (Israel),hard,header
ITF MEN - SINGLES :  M15 Akko (Israel),hard,header
ITF MEN - SINGLES :  M15 Jerusalem (Israel),hard,header
EXHIBITION - MEN :  Others matches (World),-,header
20.08.2020,Hasson J.,1,2,6,3,,,[],"['4', '2', '5', '3']",[],[],[],1.26
20.08.2020,Gaponenko A.,2,6,3,6,,,"['2', '1', '5', '2']","['3', '4']","['3', '1']",[],[],3.70
19.08.2020,Hasson J.,0,0,3,,,,[],"['1', '2']",[],[],[],6.70
19.08.2020,Cukierman D.,2,6,6,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1']",[],[],[],1.10
18.08.2020,Hasson J.,2,7,7^8,,,,"['4', '5', '6', '5']",[],[],[],[],1.22
18.08.2020,Simon S.,0,5,6^6,,,,"['3', '1']",[],[],[],[],4.12
17.08.2020,Hasson J.,1,7,3,3,,,"['5', '3', '7', '5']","['3', '3']",[],[],[],8.70
17.08.2020,Oliel Y.,2,5,6,6,,,"['4', '5']","['2', '1', '4', '3', '6', '3']","['3', '1']",[],[],1.06
13.08.2020,Hasson J.,0,3,2,,,,"['1', '0']",[],[],[],[],4.06
13.08.2020,Cukierman D.,2,6,6,,,,"['1', '1', '3', '1']","['3', '2', '5', '2']",[],[],[],1.23
12.08.2020,Hasson J.,2,6,6,,,,"['2', '0', '3', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.26
12.08.2020,Gaponenko A.,0,3,1,,,,"['1', '2']",[],[],[],[],3.72
11.08.2020,Hasson J.,1,6,1,2,,,"['2', '0', '5', '3']",[],[],[],[],3.72
11.08.2020,Smilansky I.,2,3,6,6,,,"['1', '2']","['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],1.26
10.08.2020,Hasson J.,1,6,4,3,,,"['1', '0', '3', '0']","['2', '1', '4', '5']",[],[],[],7.40
10.08.2020,Cukierman D.,2,4,6,6,,,"['1', '3']","['2', '2', '4', '2', '6', '4']","['4', '2']",[],[],1.08
09.08.2020,Hasson J.,0,4,1,,,,[],"['1', '3']",[],[],[],8.70
